"customer_id","customer_name","email","country","last_purchase_date","Total_Spent($)","data_quality_flag"
"CUST001","John Smith","john.smith@email.com","USA","2024-01-20","12500.00","OK"
"CUST002","Emma Johnson","emma.j@email.com","UK","2024-02-05","8900.00","OK"
"CUST003","Mohammed Ali","No_Email_provided","UAE","2024-01-30","5600.00","OK"
"CUST004","Sophia Chen","sophia.chen@email.com","China","2024-02-10","3200.00","OK"
"CUST006","Isabella Garcia","isabella.g@email.com","Spain","2024-02-12","6200.00","OK"
"CUST007","Liam Brown","liam.b@email.com","Australia","2024-01-15","1900.00","OK"
"CUST008","Mia Davis","mia.davis@email.com","France","2024-02-08",NULL,"Missing Total Spent"
"CUST009","Noah Miller","noah.m@email.com","Germany","2024-01-28",NULL,"Missing Total Spent"
"CUST011","James Taylor","james.t@email.com","USA",NULL,"18200.00","Missing Purchase Date"
"CUST012","Charlotte Lee","charlotte.l@email.com","Singapore","2024-02-03","8300.00","OK"
"CUST013","Benjamin White","benjamin.w@email.com","India","2024-01-18","4100.00","OK"
"CUST014","Amelia Harris","amelia.h@email.com","Brazil",NULL,"10500.00","Missing Purchase Date"
"CUST015","Lucas Clark","lucas.c@email.com","Italy","2024-01-29","5300.00","OK"
"CUST016","Harper Lewis","harper.l@email.com","Unknown","2024-02-07",NULL,"Missing Total Spent"
"CUST017","Ethan Walker","ethan.w@email.com","South Korea","2024-01-24","14200.00","OK"
"CUST019","Alexander Young","No_Email_provided","Egypt","2024-01-16","2300.00","OK"
"CUST020","Abigail King","abigail.k@email.com","Thailand","2024-02-09","16700.00","OK"
"CUST021","Michael Scott","michael.s@email.com","USA","2024-01-31","9200.00","OK"
"CUST022","Elizabeth Wright","elizabeth.w@email.com","Netherlands","2024-02-02","4700.00","OK"
"CUST023","Daniel Lopez","daniel.l@email.com","Spain","2024-01-19","11800.00","OK"
"CUST024","Sofia Hill","sofia.h@email.com","Sweden","2024-02-13","5900.00","OK"
"CUST025","Matthew Green","matthew.g@email.com","China","2024-01-17","3100.00","OK"
"CUST026","Victoria Adams","victoria.a@email.com","Ireland","2024-02-04","19300.00","OK"
"CUST027","Joseph Nelson","joseph.n@email.com","Poland","2024-01-26","7400.00","OK"
"CUST028","Scarlett Baker","scarlett.b@email.com","Greece","2024-02-06","4200.00","OK"
"CUST029","Jackson Carter","jackson.c@email.com","Portugal","2024-01-21","13400.00","OK"
"CUST030","Grace Mitchell","grace.m@email.com","Austria","2024-02-15","6200.00","OK"
"CUST031","Samuel Perez","samuel.p@email.com","Belgium","2024-01-23","1900.00","OK"
"CUST032","Chloe Roberts","chloe.r@email.com","Norway","2024-02-16",NULL,"Missing Total Spent"
"CUST034","Zoe Phillips","zoe.p@email.com","Hungary","2024-02-17","2900.00","OK"
"CUST035","Andrew Campbell","andrew.c@email.com","Finland","2024-01-14","17600.00","OK"
"CUST036","Lily Parker","lily.p@email.com","Denmark","2024-02-18","7800.00","OK"
"CUST037","Christopher Evans","christopher.e@email.com","Switzerland","2024-01-13","4500.00","OK"
"CUST038","Aria Edwards","aria.e@email.com","Israel","2024-02-19","11200.00","OK"
"CUST039","Johnathan Collins","johnathan.c@email.com","Philippines","2024-01-12","6300.00","OK"
"CUST040","Ella Stewart","ella.s@email.com","Indonesia","2024-02-20","3800.00","OK"
"CUST041","Dylan Morris","dylan.m@email.com","Malaysia","2024-01-11","13800.00","OK"
"CUST042","Avery Rivera","avery.r@email.com","Chile","2024-02-21","7200.00","OK"
"CUST043","Samantha Cook","samantha.c@email.com","Argentina","2024-01-10","4900.00","OK"
"CUST044","Nathan Morgan","nathan.m@email.com","Peru",NULL,"10100.00","Missing Purchase Date"
"CUST045","Penelope Bell","penelope.b@email.com","Colombia","2024-01-09","5700.00","OK"
"CUST046","Christian Murphy","christian.m@email.com","Venezuela","2024-02-23","2700.00","OK"
"CUST047","Hannah Bailey","hannah.b@email.com","Ecuador","2024-01-08","18800.00","OK"
"CUST048","Isaac Cooper","isaac.c@email.com","Uruguay","2024-02-24","8100.00","OK"
"CUST049","Layla Richardson","layla.r@email.com","Bolivia","2024-01-07","4300.00","OK"
"CUST050","Julian Cox","julian.c@email.com","Paraguay","2024-02-25","12200.00","OK"
"CUST051","Addison Ward","addison.w@email.com","Costa Rica","2024-01-06","5400.00","OK"
