"customer_id","customer_name","email","country","last_purchase_date","Total_Spent($)"
"CUST001"," John Smith","john.smith@email.com","USA","1/20/2024","12500"
"CUST002","Emma Johnson ","emma. j@email..com","u.k","2/5/2024","8900"
"CUST003"," mohammed ali",NULL,"uae","1/30/2024","5600"
"CUST004","SOPHIA CHEN ","sophia.chen@ email.com","china","2/10/2024","3200"
"CUST004","SOPHIA CHEN ","sophia.chen@ email.com","china","2/10/2024","3200"
"CUST006","isabella garcia","ISABELLA.G@@EMAIL.COM","spain","2/12/2024","$6,200 "
"CUST007","LIAM BROWN ","liam.b@ email.com","AUSTRALIA","1/15/2024","$1,900 "
"CUST008"," Mia Davis","mia.davis @.com","france","2/8/2024","N/A"
"CUST009","Noah Miller ","noah.m@email com","GERMANY","1/28/2024",NULL
NULL,NULL,NULL,NULL,NULL,NULL
"CUST011"," james taylor","james.t@ email .com","U.S.A",NULL,"18200"
"CUST012","CHARLOTTE LEE ","charlotte.l @@email.com","singapore","2/3/2024","8,300"
"CUST013","Benjamin White ","benjamin.w@EMAIL .COM","INDIA","1/18/2024","4100"
"CUST014","AMELIA HARRIS ","amelia.h@ email.com","brazil",NULL,"10,500"
"CUST015","Lucas Clark  ","lucas.c @email.com","italy","1/29/2024","5,300"
"CUST016","Harper Lewis ","harper.l@email com",NULL,"2/7/2024","#VALUE"
"CUST017"," ethan walker","ethan.w@email.com","South Korea","1/24/2024","14,200"
"CUST017"," ethan walker","ethan.w@email.com","South Korea","1/24/2024","14,200"
"CUST019"," alexander young",NULL,"egypt","1/16/2024","2300"
"CUST020","Abigail King ","abigail.k@ email .com","thailand","2/9/2024","16,700"
"CUST021","Michael Scott ","michael.s @EMAIL.com","Usa","1/31/2024","9,200"
"CUST022"," elizabeth wright","elizabeth.w @.com","netherlands","2/2/2024","4,700"
"CUST023","DANIEL LOPEZ ","daniel.l @email.com","Spain","1/19/2024","11,800"
"CUST024","Sofia Hill ","sofia.h@email com","sweden","2/13/2024","5,900"
"CUST025"," matthew green","MATTHEW.G @EMAIL.COM","CHINA","1/17/2024","3,100"
"CUST026","VICTORIA ADAMS ","victoria.a@ email.","ireland","2/4/2024","19,300"
"CUST027","Joseph Nelson  ","joseph.n @email.com","poland","1/26/2024","7,400"
"CUST028","scarlett baker ","scarlett.b @@email.com","GREECE","2/6/2024","4,200"
"CUST029"," JACKSON CARTER","jackson.c @EMAIL.com","portugal","1/21/2024","13,400"
"CUST030","Grace Mitchell ","grace.m@ email com","austria","2/15/2024","6,200"
"CUST031"," samuel perez","samuel.p @email.com","Belgium","1/23/2024","1,900"
"CUST032","Chloe Roberts ","CHLOE.R @EMAIL.","norway","2/16/2024","N/A"
"CUST032","Chloe Roberts ","CHLOE.R @EMAIL.","norway","2/16/2024","N/A"
"CUST034","Zoe Phillips ","zoe.p @email.com","hungary","2/17/2024","2,900"
"CUST035"," ANDREW CAMPBELL","andrew.c @ EMAIL.com","FINLAND","1/14/2024","17,600"
"CUST036","Lily Parker  ","lily.p@ email com","denmark","2/18/2024","7,800"
